type,title,description,keyword1,keyword2,keyword3,visbility,subject1,subject2,measurement,material1,material2,filename,creator,pid,cid
images,Halls,Collection of Halls,building,osu,,private,university,archive,50 x 25 cm,paper,,,"Bartos, Chris",1,
,Dreese,,,,,private,,,,,,179.jpg,,,1
,Hayes,,,,,private,,,,,,181.jpg,,,1
,Orton,,,,,private,,,,,,209.jpg,,,1
images,Halls,Collection of Halls,building,osu,,private,university,,100.5 x 40 in,wood (backing),stone,,"Bartos, Chris",2,
,Dreese,,,,,private,,,,,,179.jpg,,,2
,Hayes,,,,,private,,,,,,181.jpg,,,2
,Orton,,,,,private,,,,,,209.jpg,,,2
images,Halls,Collection of Halls,building,bell tower,osu,private,,,,stone,paper (parchment),,"Bartos, Chris",3,
,Dreese,,,,,private,,,,,,179.jpg,,,3
,Hayes,,,,,private,,,,,,181.jpg,,,3
,Orton,,,,,private,,,,,,209.jpg,,,3
