type,title,description,keyword1,keyword2,keyword3,subject1,subject2,measurement,material1,material2,filename,creator,pid,cid
images,Halls,Collection of Halls,building,osu,,university,archive,50 x 25 cm,paper,,,"Bartos, Chris",1,
,Dreese,,,,,,,,,,179.jpg,,,1
,Hayes,,,,,,,,,,181.jpg,,,1
,Orton,,,,,,,,,,209.jpg,,,1
images,Halls,Collection of Halls,building,osu,,university,,100.5 x 40 in,wood (backing),stone,,"Bartos, Chris",2,
,Dreese,,,,,,,,,,179.jpg,,,2
,Hayes,,,,,,,,,,181.jpg,,,2
,Orton,,,,,,,,,,209.jpg,,,2
images,Halls,Collection of Halls,building,bell tower,osu,,,,stone,paper (parchment),,"Bartos, Chris",3,
,Dreese,,,,,,,,,,179.jpg,,,3
,Hayes,,,,,,,,,,181.jpg,,,3
,Orton,,,,,,,,,,209.jpg,,,4
